conversion_id,user_id,campaign_id,conversion_date,revenue,conversion_type
1,981,1,2025-09-23,351.33,Purchase
2,222,2,2025-09-17,68.85,Download
3,1251,5,2025-09-29,19.66,Purchase
4,200,15,2025-09-13,215.87,Signup
5,1211,2,2025-09-21,480.5,Purchase
6,1588,11,2025-10-07,144.84,Purchase
7,1423,11,2025-09-15,383.38,Signup
8,1817,9,2025-09-26,351.41,Purchase
9,966,3,2025-10-01,223.06,Purchase
10,1000,15,2025-09-15,448.93,Purchase
11,1554,8,2025-09-17,173.21,Download
12,197,4,2025-09-21,329.29,Download
13,777,1,2025-09-17,390.44,Purchase
14,331,10,2025-09-23,329.41,Signup
15,1405,10,2025-09-19,174.77,Signup
16,1437,7,2025-09-20,338.7,Signup
17,64,10,2025-10-03,95.09,Purchase
18,228,3,2025-09-29,408.95,Purchase
19,1708,5,2025-09-18,467.38,Purchase
20,1206,6,2025-09-27,470.25,Download
21,22,15,2025-09-29,465.74,Purchase
22,1133,8,2025-09-19,302.39,Signup
23,404,12,2025-09-15,227.7,Purchase
24,1092,7,2025-09-25,457.47,Download
25,21,15,2025-09-13,393.42,Purchase
26,812,13,2025-09-27,490.93,Purchase
27,836,4,2025-09-19,394.63,Purchase
28,1084,12,2025-09-21,28.12,Download
29,1251,14,2025-09-20,38.55,Download
30,1428,12,2025-09-16,83.99,Purchase
31,1724,10,2025-09-19,167.4,Purchase
32,1378,6,2025-10-03,209.52,Purchase
33,1318,4,2025-09-14,15.97,Purchase
34,1188,10,2025-10-03,407.76,Purchase
35,1557,13,2025-09-21,224.67,Signup
36,994,3,2025-09-30,378.42,Purchase
37,329,14,2025-09-15,357.06,Purchase
38,339,13,2025-09-17,348.14,Signup
39,205,6,2025-09-26,145.42,Signup
40,1010,11,2025-10-02,279.05,Download
41,1571,3,2025-09-20,162.76,Purchase
42,1850,6,2025-10-04,390.27,Purchase
43,1185,14,2025-09-16,151.7,Purchase
44,436,2,2025-10-01,354.56,Purchase
45,138,5,2025-09-25,98.47,Signup
46,1594,8,2025-09-18,255.24,Purchase
47,779,12,2025-09-18,148.63,Purchase
48,1735,1,2025-09-21,418.63,Purchase
49,1176,12,2025-09-21,205.54,Purchase
50,371,11,2025-09-19,153.5,Purchase
51,376,1,2025-09-15,338.63,Signup
52,1453,9,2025-09-27,465.64,Download
53,1792,15,2025-09-15,303.8,Purchase
54,1433,13,2025-09-18,133.13,Purchase
55,398,2,2025-09-21,199.15,Purchase
56,1231,10,2025-10-01,188.19,Download
57,1562,6,2025-10-05,126.26,Purchase
58,794,9,2025-09-22,431.16,Signup
59,210,12,2025-09-18,395.41,Download
60,585,5,2025-09-27,484.81,Purchase
61,939,1,2025-09-16,75.22,Purchase
62,1029,5,2025-09-18,271.88,Purchase
63,1023,15,2025-09-27,104.37,Purchase
64,1287,4,2025-09-23,169.97,Purchase
65,605,13,2025-09-16,193.23,Signup
66,1115,9,2025-09-22,163.78,Purchase
67,334,12,2025-09-14,398.93,Purchase
68,1462,11,2025-10-02,444.43,Purchase
69,423,13,2025-09-16,351.18,Purchase
70,855,8,2025-09-17,160.41,Purchase
71,74,1,2025-09-21,356.0,Signup
72,1619,14,2025-09-13,498.16,Purchase
73,890,7,2025-09-23,430.97,Purchase
74,268,7,2025-09-20,187.67,Purchase
75,1944,14,2025-09-25,326.54,Download
76,1267,12,2025-09-17,234.54,Signup
77,1605,3,2025-10-08,409.37,Purchase
78,1910,5,2025-09-20,274.07,Purchase
79,1016,9,2025-09-25,23.38,Purchase
80,723,2,2025-09-27,329.44,Purchase
81,884,6,2025-09-28,295.61,Purchase
82,1629,10,2025-09-18,403.67,Signup
83,149,14,2025-09-25,326.13,Purchase
84,1239,1,2025-09-14,319.35,Purchase
85,1035,3,2025-10-03,363.18,Purchase
86,625,3,2025-09-27,182.2,Signup
87,1542,1,2025-09-14,237.16,Download
88,1596,13,2025-09-24,252.09,Signup
89,877,2,2025-09-18,119.48,Signup
90,911,14,2025-09-25,46.9,Purchase
