session_id,user_id,session_date,source,device,page_views,session_duration
1,185,2025-09-13,Organic,Desktop,12,193
2,1766,2025-09-13,Organic,Tablet,7,283
3,1237,2025-09-13,Organic,Desktop,4,751
4,1717,2025-09-13,Paid,Mobile,14,496
5,1297,2025-09-13,Paid,Tablet,5,684
6,849,2025-09-13,Paid,Mobile,7,704
7,865,2025-09-13,Organic,Mobile,6,466
8,777,2025-09-13,Organic,Desktop,6,179
9,1417,2025-09-13,Organic,Desktop,8,220
10,572,2025-09-13,Organic,Desktop,6,121
11,936,2025-09-13,Social,Tablet,15,659
12,601,2025-09-13,Organic,Tablet,5,415
13,844,2025-09-13,Organic,Desktop,13,401
14,161,2025-09-13,Paid,Mobile,1,837
15,161,2025-09-13,Organic,Mobile,4,327
16,130,2025-09-13,Organic,Tablet,14,864
17,867,2025-09-13,Organic,Desktop,2,236
18,717,2025-09-13,Organic,Mobile,15,585
19,1837,2025-09-13,Organic,Tablet,6,818
20,691,2025-09-13,Paid,Desktop,3,750
21,682,2025-09-13,Social,Desktop,14,791
22,1187,2025-09-13,Organic,Desktop,11,575
23,179,2025-09-13,Social,Mobile,11,187
24,1910,2025-09-13,Social,Tablet,7,138
25,647,2025-09-13,Paid,Mobile,14,292
26,528,2025-09-13,Organic,Mobile,3,285
27,318,2025-09-13,Organic,Mobile,11,94
28,1104,2025-09-13,Paid,Mobile,13,866
29,340,2025-09-13,Organic,Desktop,8,588
30,946,2025-09-13,Organic,Mobile,4,766
31,1410,2025-09-13,Organic,Mobile,2,794
32,1787,2025-09-13,Social,Mobile,12,672
33,1905,2025-09-13,Organic,Desktop,13,98
34,576,2025-09-13,Paid,Desktop,15,609
35,1827,2025-09-13,Social,Mobile,12,740
36,233,2025-09-13,Referral,Mobile,13,138
37,1356,2025-09-13,Organic,Mobile,7,328
38,761,2025-09-13,Social,Mobile,15,367
39,1976,2025-09-13,Social,Mobile,14,513
40,221,2025-09-13,Organic,Desktop,8,174
41,1582,2025-09-13,Social,Desktop,7,873
42,620,2025-09-13,Social,Tablet,7,743
43,1557,2025-09-13,Social,Mobile,12,58
44,319,2025-09-13,Organic,Mobile,15,125
45,1270,2025-09-13,Organic,Desktop,3,636
46,318,2025-09-13,Organic,Desktop,15,823
47,866,2025-09-13,Paid,Mobile,6,595
48,1799,2025-09-13,Social,Mobile,11,429
49,1630,2025-09-13,Organic,Desktop,7,190
50,755,2025-09-13,Organic,Desktop,4,239
51,1693,2025-09-13,Organic,Mobile,4,162
52,1276,2025-09-13,Organic,Desktop,2,210
53,1865,2025-09-13,Paid,Mobile,9,123
54,249,2025-09-13,Social,Mobile,3,695
55,1311,2025-09-13,Referral,Mobile,13,498
56,846,2025-09-13,Paid,Desktop,5,501
57,1669,2025-09-13,Social,Mobile,12,765
58,1032,2025-09-13,Organic,Desktop,10,769
59,1997,2025-09-13,Social,Mobile,2,57
60,1577,2025-09-13,Paid,Desktop,5,834
61,1493,2025-09-13,Organic,Mobile,10,473
62,1962,2025-09-13,Organic,Desktop,12,67
63,1396,2025-09-13,Organic,Desktop,4,310
64,1164,2025-09-13,Paid,Mobile,13,58
65,1665,2025-09-13,Organic,Desktop,12,114
66,1632,2025-09-13,Paid,Desktop,2,628
67,119,2025-09-13,Paid,Mobile,1,594
68,1687,2025-09-13,Paid,Desktop,8,184
69,272,2025-09-13,Paid,Desktop,12,486
70,1041,2025-09-13,Referral,Mobile,2,122
71,1766,2025-09-13,Paid,Desktop,14,290
72,77,2025-09-13,Paid,Tablet,4,513
73,1427,2025-09-13,Organic,Desktop,13,716
74,81,2025-09-13,Social,Tablet,3,440
75,574,2025-09-13,Paid,Desktop,12,670
76,672,2025-09-13,Paid,Desktop,12,703
77,1771,2025-09-13,Paid,Mobile,12,384
78,1148,2025-09-13,Paid,Mobile,8,471
79,529,2025-09-13,Paid,Desktop,12,583
80,624,2025-09-13,Paid,Tablet,12,721
81,468,2025-09-13,Paid,Mobile,5,268
82,1631,2025-09-13,Social,Desktop,7,254
83,1930,2025-09-13,Paid,Mobile,4,51
84,1049,2025-09-13,Social,Desktop,14,89
85,1267,2025-09-13,Social,Desktop,13,739
86,429,2025-09-13,Social,Mobile,13,54
87,1146,2025-09-13,Organic,Desktop,15,857
88,586,2025-09-13,Social,Desktop,5,514
89,958,2025-09-13,Social,Mobile,12,556
90,1198,2025-09-13,Organic,Mobile,10,708
91,888,2025-09-13,Paid,Desktop,12,474
92,955,2025-09-13,Social,Desktop,13,165
93,659,2025-09-13,Organic,Desktop,9,877
94,1091,2025-09-13,Organic,Desktop,12,321
95,562,2025-09-13,Paid,Mobile,5,670
96,1259,2025-09-13,Organic,Mobile,11,869
97,888,2025-09-13,Referral,Desktop,12,595
98,854,2025-09-13,Organic,Mobile,9,536
